Character,PageRank,Betweenness,Community
Tyrion,0.055447591710774874,0.19791284320277355,1
Jon,0.044848169497765177,0.22996466368473173,0
Daenerys,0.041097955400774516,0.15720345212054954,4
Jaime,0.03660472005662751,0.09994344156136246,2
Sansa,0.03635984896765583,0.12672031668498004,1
Robb,0.03412784643493466,0.12696447138301506,3
Bran,0.029003406623936624,0.06301659941786954,5
Samwell,0.028272354636001702,0.03227262859511145,0
Arya,0.02553359919537514,0.07960711308183888,2
Joffrey,0.024235897079257794,0.025434099443917696,1
Cersei,0.0215254139892607,0.02674643287824231,2
Tywin,0.02107776934632322,0.06553840423231058,1
Catelyn,0.0186543366972845,0.04890588265764755,3
Mance,0.01714157110384841,0.007275961371756524,0
Stannis,0.01681830432050945,0.10269986172732642,0
Jorah,0.014961856208967114,0.002329891127259132,4
Davos,0.014759694712919599,0.056064690026954175,0
Robert,0.01405206430687898,0.2094523840293194,2
Hodor,0.013967666757153862,0.0021937273446681065,5
Sandor,0.01323744538406284,0.014162278987154626,2
Gregor,0.0127280699560256,0.005879915417737236,2
Lysa,0.012448070593069889,0.015215156305177053,3
Belwas,0.012189058477052098,0.018867924528301886,4
Brienne,0.011905966413262845,0.0015376001520469229,3
Meera,0.01126265671725624,0.0019922569692430686,5
Edmure,0.011006363490243224,0.0063172332740347534,3
Oberyn,0.010382653034536584,0.01958014232946847,1
Eddard,0.010357849312494513,0.019341416465723616,2
Barristan,0.010313522790600103,0.04011407489067884,4
Jojen,0.010254617774027064,0.0004064518889316733,5
Margaery,0.009676122116229926,0.0010973522354777933,1
Walder,0.009614235922935001,0.0032731813973401044,3
Petyr,0.0092983427436223,0.0011502139845250673,3
Craster,0.009234694246508838,0.018867924528301886,0
Ygritte,0.008752435428222929,0.0,0
Melisandre,0.008716840622534132,0.00860866854841803,0
Grenn,0.008663964595957111,5.989817310572027e-05,0
Loras,0.008425150460306032,0.0037807522915339624,1
Beric,0.008071148858994886,0.0006091214266627511,2
Aemon,0.007850482564203934,0.004622508177397137,0
Rickon,0.007844283706445028,0.0007626320968639029,5
Gilly,0.007662543011457684,0.0,0
Rhaegar,0.007322864524882725,0.007312671807481102,4
Kevan,0.007064137684984242,0.019219915043818533,1
Podrick,0.0070346598822006315,0.0008358985235471674,1
Drogo,0.006857283157631633,5.989817310572027e-05,4
Brynden,0.006716237375862583,0.004727134574764742,3
Qhorin,0.006666138821369873,0.0002635519616651692,0
Irri,0.006664880937978502,0.00017969451931716083,4
Bronn,0.006614635456000921,0.00010482180293501046,2
Thoros,0.006604850166877004,0.0019261823273239147,2
Renly,0.00644764416813505,0.004227926858198186,1
Gendry,0.006302341241271512,0.0,2
Varys,0.00618110289244201,0.0009094137867722773,1
Daario,0.006036274177207293,5.989817310572027e-05,4
Missandei,0.006005183282223047,0.0,4
Shae,0.005884260055129384,0.0012523948930099663,1
Janos,0.0055105008432957785,0.02355861153253357,0
Meryn,0.0054955051947663085,0.00025900705642512993,2
Rattleshirt,0.005339108620262834,0.0,0
Lothar,0.004649494401526807,0.0006600525898733143,3
Aerys,0.004597480560319641,0.0,2
Val,0.004512220622435665,0.005898334987101542,0
Roslin,0.004474655279854568,6.751960581039384e-05,3
Theon,0.004471397683633074,0.00047177590304274953,5
Elia,0.004357737352769071,0.0029968534106303364,2
Tommen,0.004300178091407195,0.0006984420191967362,1
Alliser,0.0042901988469158,0.0,0
Ilyn,0.004192029171736502,0.0,2
Viserys,0.0039866942947557864,0.015644391307527945,4
Balon,0.003962373979853273,0.0006281164805527878,1
Jeyne,0.003790204237458663,0.0,3
Salladhor,0.003709535739737267,0.0,0
Marillion,0.003700885150086999,0.0,3
Hoster,0.003624292601821172,0.0002426336765959408,3
Pycelle,0.0035345450957102904,0.0,1
Dalla,0.0035139035109543705,0.0,0
Worm,0.0035107095557416236,0.0,4
Eddison,0.0034967890746363667,0.0,0
Styr,0.0034192485877992847,0.0,0
Nan,0.003395043537715997,0.0,5
Robert Arryn,0.0033147687131207474,0.0,3
Mace,0.0033074888799703283,0.0,1
Myrcella,0.003060198045204086,0.0006235971795124951,1
Illyrio,0.00294872740384625,0.0,4
Kraznys,0.002908183728066447,0.0,4
Roose,0.002820968936707172,0.0002629599012559427,3
Anguy,0.002655164345015347,0.0,2
Aegon,0.0026069208142288584,0.0,4
Bowen,0.0025461297811312468,0.0,0
Rakharo,0.0024562893573100643,0.0,4
Jon Arryn,0.002451602681316181,0.0005764583325230229,2
Ellaria,0.002440713844386988,0.0,1
Olenna,0.002437821285628026,0.0,1
Rickard,0.0024107223915391723,0.0,3
Luwin,0.0023296966372934307,0.0,5
Qyburn,0.002321877262195355,0.0,2
Chataya,0.0022741103342991836,0.0,1
Lancel,0.0022424772890659948,0.0,1
Walton,0.002238240161893823,0.0,2
Shireen,0.002123014965396868,0.0,0
Karl,0.0020298210579235156,0.0,0
Amory,0.0019824624030049228,0.0,1
Cressen,0.001978785804093195,0.0,0
Orell,0.001919343715172158,0.0,0
Doran,0.001829535149574482,0.0,1
Ramsay,0.0017411238869268482,0.0,3

