Character, Killed by, Time, House, Status, Importance, Episode ID
White Rat, a member of the Sons of the Harpy, 15:20, undefined, undefined, 1, 41
Mance Rayder, Jon Snow, 49:18, undefined, undefined, 2, 41
Son of Harpy, Mossador, 46:30, undefined, undefined, 1, 42
Mossador, Daario Naharis, 50:24, undefined, undefined, 2, 42
Janos Slynt, Jon Snow, 38:58, undefined, undefined, 2, 43
Lead Dornish guard, Bronn, 34:17, undefined, undefined, 1, 44
Merchant captain, Obara Sand, 38:42, undefined, undefined, 1, 44
Ser Barristan Selmy, Sons of Harpy, 47:46, undefined, undefined, 2, 44
Great Master, dragon, 4:59, undefined, undefined, 1, 45
Ghita, Arya , 13:20, undefined, undefined, 1, 46
Maester Aemon, undefined, 9:45, Targaryen, undefined, 2, 47
Old Woman, Ramsay Bolton, 13:42, undefined, undefined, 1, 47
Lord of Bones, Tormund, 32:50, undefined, undefined, 2, 48
Loboda, White Walker, 50:16, undefined, undefined, 1, 48
White Walker, Jon Snow, 51:00, undefined, undefined, 1, 48
Karsi, a pack of child-wights, 52:58, undefined, undefined, 1, 48
Shireen Baratheon, Melisandre, 32:28, Baratheon, undefined, 2, 49
Hizdahr zo Loraq, son of Harpy, 45:03, undefined, undefined, 2, 49
Selyse Baratheon, hanging, 3:35, Baratheon, undefined, 2, 50
Stannis Baratheon, Brienne of Tarth, 15:23, Baratheon, undefined, 3, 50
Myranda, Theon Greyjoy, 18:33, undefined, undefined, 2, 50
Meryn Trant, Arya Stark, 21:10, undefined, undefined, 2, 50
Myrcella Baratheon, Ellaria Sand , 29:25, Baratheon, undefined, 2, 50
Jon Snow, Black brothers (Later Resurrected), 56:20, undefined, undefined, 3, 50
Bolton officer, Brienne of Tarth, 15:47, undefined, undefined, 1, 51
Areo Hotah, Tyene Sand, 26:46, undefined, undefined, 2, 51
Doran Martell, Ellaria Sand, 26:50, Martell, undefined, 2, 51
Maester Caleotte, Tyene Sand, 26:53, undefined, undefined, 1, 51
Trystane Martell, Obara Sand, 28:30, Martell, undefined, 2, 51
King's Landing boaster, The Mountain, 12:24, undefined, undefined, 1, 52
Roose Bolton, Ramsay Bolton, 31:04, Bolton, undefined, 2, 52
Walda Bolton, Ramsay Bolton, 35:17, Bolton, undefined, 1, 52
Newborn Bolton, Ramsay Bolton, 35:17, Bolton, undefined, 1, 52
Balon Greyjoy, Euron Greyjoy, 42:21, Greyjoy, undefined, 2, 52
Gerold Hightower, Ned Stark, 14:15, undefined, flashback, 1, 53
Arthur Dayne, Ned Stark, 16:16, undefined, flashback, 1, 53
Jon Umber, undefined, 43:32, undefined, undefined, 1, 53
Bowen Marsh, Jon Snow, 49:17, undefined, undefined, 1, 53
Othell Yarwyck, Jon Snow, 49:17, undefined, undefined, 1, 53
Alliser Thorne, Jon Snow, 49:17, undefined, undefined, 2, 53
Olly, Jon Snow, 49:17, undefined, undefined, 2, 53
Iggo, Daario Naharis, 24:20, undefined, undefined, 1, 54
Akho, Daario Naharis, 24:39, undefined, undefined, 1, 54
Osha, Ramsay Bolton, 46:18, undefined, undefined, 2, 54
Moro and 9 other Khals, Daenery, 54:27, undefined, undefined, 2, 54
White Walker, Meera Reed, 50:51, undefined, undefined, 1, 55
Three-eyed raven, the Night King, 51:51, undefined, undefined, 2, 55
Leaf, activating an explosive device taking out wights, 52:40, undefined, undefined, 1, 55
Hodor, wights, 54:26, undefined, undefined, 2, 55
Aerys Targaryen, Jaime Lannister, 2:49, undefined, flashback, 1, 56
Maege Mormont, undefined, 23:14, undefined, undefined, 1, 57
Brother Ray, rogue members of the Brotherhood Without Banners, 48:13, undefined, undefined, 1, 57
Steve, Sandor Clegane, 8:24, undefined, undefined, 1, 58
Riddell, Sandor Clegane, 8:26, undefined, undefined, 1, 58
Morgan, Sandor Clegane, 8:30, undefined, undefined, 1, 58
Gatins, Sandor Clegane, 8:33, undefined, undefined, 1, 58
Faith Militant, The Mountain, 12:51, undefined, undefined, 1, 58
Brynden Tully, Lannister soldier, 39:39, Tully, undefined, 2, 58
Outlaw1, Sandor Clegane, 44:26, undefined, undefined, 1, 58
Lem Lemoncloak, Sandor Clegane, 44:31, undefined, undefined, 1, 58
Outlaw2, Brotherhood Without Banners, 44:34, undefined, undefined, 1, 58
Lady Crane, the Waif , 47:45, undefined, undefined, 2, 58
The Waif , Arya Stark, 53:37, undefined, undefined, 2, 58
Belicho Paenymion, Grey Worm, 10:24, undefined, undefined, 1, 59
Razdal mo Eraz, Grey Worm, 10:24, undefined, undefined, 2, 59
Rickon Stark, Ramsay Bolton, 35:26, Stark, undefined, 2, 59
Smalljon Umber, Tormund, 47:36, undefined, undefined, 2, 59
Wun Weg Wun Dar Wun, Ramsay Bolton, 51:29, undefined, undefined, 2, 59
Ramsay Bolton, his own dogs, 51:13, Bolton, undefined, 3, 59
Grand Maester Pycelle, kids, 13:07, undefined, undefined, 2, 60
Lancel Lannister, wildfire, 17:17, Lannister, undefined, 2, 60
High Sparrow, wildfire, 17:27, undefined, undefined, 3, 60
Margaery Tyrell, wildfire, 17:27, Tyrell, undefined, 3, 60
Loras Tyrell, wildfire, 17:27, Tyrell, undefined, 2, 60
Mace Tyrell, wildfire, 17:27, Tyrell, undefined, 2, 60
Kevan Lannister, wild fire, 17:27, Lannister, undefined, 2, 60
Tommen Baratheon, juming out a window, 22:52, Baratheon, undefined, 3, 60
Walder Rivers, Arya Star, 48:30, Frey, undefined, 1, 60
Lothar Frey, Arya Star, 48:30, Frey, undefined, 1, 60
Walder Frey, Arya Stark, 49:03, Frey, undefined, 2, 60
Waymar Royce, White Walker, 5:52, undefined, undefined, 1, 1
Gared, White Walker, 6:58, undefined, undefined, 1, 1
Will, Ned Stark, 13:44, undefined, undefined, 1, 1
Jon Arryn, Lysa, 18:34, Arryn, undefined, 1, 1
Assassin, Bran's Wolf, 31:27, undefined, undefined, 1, 2
Mycah, the Hound, 4:37, undefined, undefined, 1, 2
Ser Hugh, the Mountain, 47:41, undefined, undefined, 1, 4
Kurleket, hill tribesmen, 11:56, undefined, undefined, 1, 5
Willis Wode, hill tribesmen, 12:31, undefined, undefined, 1, 5
Wyl, Lannister guardsmen, 51:14, undefined, undefined, 1, 5
Heward, Lannister guardsmen, 51:14, undefined, undefined, 1, 5
Jory Cassel, Jamie Lannister, 51:30, undefined, undefined, 2, 5
Wallen, Rob Stark, 11:23, undefined, undefined, 1, 6
Stiv, Theon Greyjoy, 12:05, undefined, undefined, 1, 6
Vardis Egen, Bronn, 38:19, undefined, undefined, 1, 6
Viserys Targaryen , Khal Drogo, 51:04, Targaryen, undefined, 3, 6
Wine seller, undefined, 51:53, undefined, undefined, 1, 7
Robert Baratheon, a boar, 52:09, Baratheon, undefined, 3, 7
Vayon Poole, House Lannister men, 2:25, undefined, undefined, 1, 8
Mordane, House Lannister men, 3:12, undefined, undefined, 1, 8
Syrio Forel, House Lannister men, 5:46, undefined, undefined, 1, 8
Stableboy, Arya, 7:02, undefined, undefined, 1, 8
Mago, Khal Drogo, 30:52, undefined, undefined, 1, 8
Othor, Jon Snow, 25:58, undefined, undefined, 1, 8
Qotho, Jorah Mormont, 34:02, undefined, undefined, 2, 9
Eddard Stark, Ilyn Payne, 54:56, Stark, undefined, 3, 9
Khal Drogo, Daenerys, 33:39, undefined, undefined, 3, 10
